category,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16
table_5,TEAM,W,L,ERA,G,CG,SHO,SV,IP,HA,R,ER,HR,HBP,BB,SO
table_5,Anaheim,77,85,4.28,162,5,9,39,"1,431.1","1,444",743,680,190,76,486,980
table_5,Baltimore,71,91,4.76,163,9,3,41,"1,449.2","1,579",820,767,198,80,526,981
table_5,Boston,95,67,4.48,162,5,6,36,"1,464.2","1,503",809,729,153,76,488,"1,141"
table_5,Chicago,86,76,4.17,162,12,4,36,"1,431.0","1,364",715,663,162,53,518,"1,056"
table_5,Cleveland,68,94,4.21,162,5,7,34,"1,459.1","1,477",778,682,179,64,501,943
table_5,Detroit,43,119,5.30,162,3,5,27,"1,438.2","1,616",928,847,195,56,557,764
table_5,Kansas City,83,79,5.05,162,7,10,36,"1,438.2","1,569",867,808,190,66,566,865
table_5,Minnesota,90,72,4.41,162,7,8,45,"1,462.0","1,526",758,716,187,50,402,997
table_5,New York,101,61,4.02,163,8,12,49,"1,462.0","1,512",716,653,145,49,375,"1,119"
table_5,Oakland,96,66,3.63,162,16,14,48,"1,441.2","1,336",643,582,140,54,499,"1,018"
table_5,Seattle,93,69,3.76,162,8,15,38,"1,441.0","1,340",637,602,173,54,466,"1,001"
table_5,Tampa Bay,63,99,4.93,162,7,7,30,"1,436.2","1,454",852,787,196,95,639,877
table_5,Texas,71,91,5.67,162,4,3,43,"1,433.1","1,625",969,903,208,63,603,"1,009"
table_5,Toronto,86,76,4.69,162,14,6,36,"1,435.0","1,560",826,748,184,57,485,984
