Year,Category,Statistic,Player,Team,Value
2019,Individual Pitching Stats,Complete Games,Sandy Alcantara,Miami Marlins,2
2019,Individual Pitching Stats,Walker Buehler,Los Angeles Dodgers,2,
2019,Individual Pitching Stats,Zach Eflin,Philadelphia Phillies,2,
2019,Individual Pitching Stats,ERA,Hyun-Jin Ryu,Los Angeles Dodgers,2.32
2019,Individual Pitching Stats,Games,Alex Claudio,Milwaukee Brewers,83
2019,Individual Pitching Stats,Saves,Kirby Yates,San Diego Padres,41
2019,Individual Pitching Stats,Shutouts,Sandy Alcantara,Miami Marlins,2
2019,Individual Pitching Stats,Strikeouts,Jacob deGrom,New York Mets,255
2019,Individual Pitching Stats,Winning Percentage,Walker Buehler,Los Angeles Dodgers,.778
2019,Individual Pitching Stats,Wins,Stephen Strasburg,Washington Nationals,18
