category,col1,col2,col3,col4,col5
table_2,Complete Games,German Marquez,Colorado Rockies,3,Top 25
table_2,Adam Wainwright,St. Louis Cardinals,3,,
table_2,Zack Wheeler,Philadelphia Phillies,3,,
table_2,ERA,Corbin Burnes,Milwaukee Brewers,2.43,Top 25
table_2,Games,Tyler Rogers,San Francisco Giants,80,Top 25
table_2,Saves,Mark Melancon,San Diego Padres,39,Top 25
table_2,Shutouts,Anthony DeSclafani,San Francisco Giants,2,Top 25
table_2,Max Fried,Atlanta Braves,2,,
table_2,Joe Musgrove,San Diego Padres,2,,
table_2,Zack Wheeler,Philadelphia Phillies,2,,
table_2,Strikeouts,Zack Wheeler,Philadelphia Phillies,247,Top 25
table_2,Winning Percentage,Julio Urias,Los Angeles Dodgers,.870,Top 25
table_2,Wins,Julio Urias,Los Angeles Dodgers,20,Top 25
