year,league,category,text
1882,National League,table_2,Complete Games | Jim McCormick | Cleveland | 65
1882,National League,table_2,ERA | Larry Corcoran | Chicago | 1.95
1882,National League,table_2,Games | Jim McCormick | Cleveland | 68
1882,National League,table_2,Saves | John Ward | Providence | 1
1882,National League,table_2,Shutouts | Old Hoss Radbourn | Providence | 6
1882,National League,table_2,Strikeouts | Old Hoss Radbourn | Providence | 201
1882,National League,table_2,Winning Percentage | Larry Corcoran | Chicago | .692
1882,National League,table_2,Wins | Jim McCormick | Cleveland | 36
1882,National League,table_5,Complete Games | Chicago | 83
1882,National League,table_5,ERA | Chicago | 2.22
1882,National League,table_5,Fewest Hits Allowed | Chicago | 667
1882,National League,table_5,Fewest Home Runs Allowed | Boston | 10
1882,National League,table_5,Fewest Walks Allowed | Boston | 77
1882,National League,table_5,Saves | Providence | 1
1882,National League,table_5,Shutouts | Providence | 10
1882,National League,table_5,Strikeouts | Detroit | 354
