year,league,category,text
1902,American League,table_2,Complete Games | Cy Young | Boston | 41
1902,American League,table_2,ERA | Ed Siever | Detroit | 1.91
1902,American League,table_2,Games | Cy Young | Boston | 45
1902,American League,table_2,Saves | Jack Powell | St. Louis | 2
1902,American League,table_2,Shutouts | Addie Joss | Cleveland | 5
1902,American League,table_2,Strikeouts | Rube Waddell | Philadelphia | 210
1902,American League,table_2,Winning Percentage | Bill Bernhard | Philadelphia | .783
1902,American League,table_2,Wins | Cy Young | Boston | 32
1902,American League,table_5,Complete Games | Washington | 130
1902,American League,table_5,ERA | Boston | 3.02
1902,American League,table_5,"Fewest Hits Allowed | Cleveland | 1,199"
1902,American League,table_5,Fewest Home Runs Allowed | Detroit | 20
1902,American League,table_5,Fewest Walks Allowed | Washington | 312
1902,American League,table_5,Saves | Cleveland | 3
1902,American League,table_5,Shutouts | Cleveland | 16
1902,American League,table_5,Strikeouts | Philadelphia | 455
