category,text
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_2,Complete Games | Bob Feller | Cleveland | 36 | Top 25
table_2,ERA | Hal Newhouser | Detroit | 1.94 | Top 25
table_2,Games | Bob Feller | Cleveland | 48 | Top 25
table_2,Saves | Bob Klinger | Boston | 9 | Top 25
table_2,Shutouts | Bob Feller | Cleveland | 10 | Top 25
table_2,Strikeouts | Bob Feller | Cleveland | 348 | Top 25
table_2,Winning Percentage | Dave Ferriss | Boston | .806 | Top 25
table_2,Wins | Bob Feller | Cleveland | 26 | Top 25
table_2,Statistic | Name(s) | Team(s) | # | Top 25
table_5,Statistic | Team | #
table_5,Complete Games | Detroit | 94
table_5,ERA | Chicago | 3.10
table_5,"Fewest Hits Allowed | New York | 1,232"
table_5,Fewest Home Runs Allowed | New York | 66
table_5,Fewest Walks Allowed | Detroit | 497
table_5,Saves | Boston | 20
table_5,Shutouts | Detroit | 18
table_5,Strikeouts | Detroit | 896
